department,job_title,salary,nb_months
HHS - Physical ActivityCourses,SCUBA Certification Evaluator,29640,12
BUS - College of Business Dept,Advisor-Academic,64908,12
AHT - Horticulture,Faculty Research Assistant,48348,12
RNR - Institute Natrl Res Dir,Mgr-Oregon Explorer Program,82512,12
"OAS - Earth, Ocean & Atmo Sci",Professor,171444,12
MRS - Recreational Sports,Fitness Instructor,41592,12
AGA - College of Ag Admin,Professor,18e4,9
ESE - Sch Elect Engr/Comp Sci,Instructor,82020,12
CLA - Sch of Psychological Sci,Associate Professor,88290,9
AFW - Fisheries and Wildlife,Associate Professor,100980,12
AHT - Horticltr Extn Field Fac,Assistant Professor (Practice),67884,12
MHD - Univ Housing and Dining,Residential Area Director,52488,12
MSI - Orange Media Network,Broadcast Coordinator,52356,12
ESE - Sch Elect Engr/Comp Sci,Asst-Network Research,66708,12
VBS - Vet Biomedical Science,Assistant Professor (Sr Res),75012,12
MHD - Dining Centers,Assistant Director-Nutrition,84240,12
TEE - Outreach & Engagement,Regional Director,140004,12
AAR - Applied Economics,Research Program Administrator,49812,12
AIP - Integrtd Plant Prot (Ag),Faculty Research Assistant,43008,12
CLA - Liberal Arts Admin,Advisor-Academic,44004,12
QFA - Controller’s Office-F&A,AVP Finance & Controller,203004,12
FOR - College of Forestry Adm,Administrator-Rsch Cmpting Sys,83052,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,99036,9
ABP - Bty/Plant Extn Field Fac,Associate Professor,87828,12
CLA - Liberal Arts Admin,Dir-Pop Music & Perform Arts,207900,12
GRD - Water Res Graduate Prgm,"Director,Water Res.Grad.Prog",119424,12
MSA - Coll Assistnc Migrnt Prg,HEP Recruiter,40008,12
DLB - Library,Catalog Librarian,66432,12
INT - INTO OSU Program,Dir-Academic Programs INTO OSU,106428,12
CLA - Sch of Hist Phil & Rel,Associate Professor,75114,9
RDR - Lab Animal Resources,Assistant Professor (Clinical),116868,12
VBS - Vet Biomedical Science,Professor,137646,9
ESE - Sch Elect Engr/Comp Sci,Associate Professor,128421,9
RIP - VP for Research,Senior Assoc Licensing,86952,12
QFA - Human Resources-Central,Associate Director,109644,12
AHE - Hermiston Exp Sta,Assistant Professor,90495,9
SCI - College of Science Admin,Senior Faculty Research Asst I,57708,12
TEX - Ext/Exp S Communications,Asst to Dir/Office Manager,71640,12
ESE - Sch Elect Engr/Comp Sci,Assoc.Sch Head-Onl.Cont Ed,189660,12
AFW - Fisheries and Wildlife,Faculty Research Assistant,49752,12
MSI - Orange Media Network,Asst Dir Advertising&Business,82416,12
DAA - Faculty Affairs Admin,Work Life Coordinator,71460,12
MSA - Ctr Fratrn/Sorority Life,Assistant Dean,87564,12
ASC - An/RngSci Extn Field Fac,Assistant Professor (Practice),62160,12
ESE - Sch Elect Engr/Comp Sci,Academic Advisor,50508,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,52008,12
MRS - Recreational Sports,Asst Dir-Sport Programs,69552,12
TEX - Ext/Exp S Communications,Content Strategist,64500,12
BUS - College of Business Dept,Dir-Advancement,103116,12
QFA - Human Resources-Central,Officer-Protected Leave,47964,12
QBC - Health Sci Business Ctr,Finance Coordinator,6e4,12
SPH - Physics,Professor,162333,9
MSA - Dean of Students,Care & Resource (CARE) Manager,55008,12
ACS - Crop and Soil Science,Coordinator-Academic Program,52008,12
RIP - Radiation Center,Assist Dir/Reactor Admin,102e3,12
ECB - Sch of Chem/Bio/Envr Eng,Associate Professor,115344,9
BUS - College of Business Dept,Associate Professor,172395,9
FOR - Wood Science / Engr,Professor,152436,12
VCS - Vet Clinical Sciences,Assistant Professor (Clinical),130356,12
FOR - TallWood DesignInstitute,TDI Outreach Coordinator,58500,12
QFA - Human Res BC Ops - AABC,Human Resources Consultant 1,54672,12
SMT - Mathematics,Professor,114426,9
"OAS - Earth, Ocean & Atmo Sci",Professor,128628,12
SPH - Physics,Associate Professor,85176,9
YIA - Intercolleg Athletics,Asst Dir-Sports Information,51348,12
RNR - Institute Natrl Res Dir,GIS Analyst,46008,12
ASF - COMES - Newport Exp Sta,Faculty Research Assistant,45708,12
ASC - An/RngSci Extn Field Fac,Associate Professor,92532,12
HHS - Hlth Hum Sci SW Outreach,Coord-Training Support Unit,64644,12
CLA - School of Public Policy,Associate Professor,126225,9
YIA - Intercolleg Athletics,Asst Trainer-Athletic Camps,51996,12
ASC - An/RngSci Extn Field Fac,Faculty Research Assistant,49812,12
VBS - Vet Biomedical Science,Assistant Professor (Sr. Res),72456,12
LCB - Acad Prog / Student Aff,Senior Instructor I,73740,12
"OAS - Earth, Ocean & Atmo Sci",Professor,178836,12
KED - College of Education,Associate Professor (Clinical),71508,12
FOR - Forest Ecosyst & Society,Assistant Professor (Sr Res),78300,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,79191,9
PHR - Pharmacy Professnl Instr,Staff Pharmacist,104088,12
AMB - Microbiology (Ag),Professor,113868,9
ESE - Sch Elect Engr/Comp Sci,Instructor,76392,12
BUS - College of Business Dept,Advisor-Academic,51264,12
AFW - Fisheries and Wildlife,Research Associate,51912,12
"CLA - Sch Lang, Culture & Soc",Associate Professor,76878,9
ABP - Ag Botany / Plant Path,Faculty Research Assistant,58560,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,54084,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,41604,12
VMD - Veterinary Medicine,Associate Professor,151044,12
ESE - Sch Elect Engr/Comp Sci,Instructor,58500,12
BUS - College of Business Dept,Associate Professor,110115,9
ACT - Central Oregon Exp Sta,Faculty Research Assistant,52932,12
ECC - Sch of Civil/Constr Engr,Professor,130419,9
ATX - Enviro / Molecular Toxic,Senior Faculty Research AsstII,72252,12
CLA - Sch of Wrtg Lit & Film,Professor,106488,9
MHD - Univ Housing and Dining,Mgr-Custod. and Bldg. Svcs.,76188,12
BUS - College of Business Dept,Office Manager,41664,12
VTH - Vet Teaching Hospital,Coord-Client Services,54828,12
HHS - EXT 4-H YouthDev OffCmps,4-H Youth Development Educator,47856,12
AAR - Applied Economics,Professor,123273,9
QBA - Business Affairs,Cashierÿs Office Supervisor,69600,12
FOR - Forest Eng/Resourcs/Mgmt,Assistant Professor,88029,9
MRS - Recreational Sports,Fitness Instructor,41592,12
HHS - EXT Fam/CommHlth OnCmps,Senior Faculty Research Asst I,56040,12
ABE - Biol & Ecol Engineering,Distinguished Professor,155400,12
AFW - Fisheries and Wildlife,Faculty Research Assistant,50880,12
VMD - Veterinary Medicine,Professor,164592,12
ECB - Sch of Chem/Bio/Envr Eng,Distinguished Professor,181323,9
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,99711,9
HHS - EXT Fam/CommHlth OffCmps,Coordinator-SNAP Ed,57132,12
PHR - Pharmacy Professnl Instr,Clinical Pharmacy Specialist,131136,12
YIA - Intercolleg Athletics,Dir-Beyond Football Program,75e3,12
UPR - Office of the President,Assoc Dir-Federal Relations,128976,12
PHR - Pharmacy Professnl Instr,Pharm & Therap Clinical Coord,121164,12
QBC - Aux & Activ Business Ctr,Finance Coordinator,68400,12
HHS - Public Hlth/HumanSci Adm,Professor,135900,9
QFA - Human Resources-Central,Sr Emp/Labor Rel Officer,88008,12
YIA - Intercolleg Athletics,Mgr-Business Office AP/AR,61560,12
ACS - Crop/Soil Sci Extension,Mgr-Information Technology,132756,12
PHR - Pharmacy Professnl Instr,Research Associate (Post Doc),48216,12
BUS - College of Business Dept,Assistant Professor,160965,9
INT - VP for Int’l Programs,Senior Advisor-Intern’lAffairs,200004,12
SMB - Microbiology (Science),Assistant Professor,95445,9
***Change to 104000 eff 7/1/19,Instruct Design Specialist,63e3,12
FOR - Forestry & Natrl Res Ext,Professor,127836,12
CLA - Liberal Arts Admin,Professor,123759,9
CLA - Liberal Arts Admin,Head Advisor,61008,12
AHT - Horticulture,Senior Instructor I,52542,9
AFS - Food Science and Techno,Professor,157545,9
CLA - Sch of Hist Phil & Rel,Senior Instructor I,63117,9
XEM - Financial Aid,Consultant-FIN Aid Advisor,40992,12
"OAS - Earth, Ocean & Atmo Sci",Associate Professor,117036,12
CLA - Sch of Wrtg Lit & Film,Assistant Professor,68544,9
"OAS - Earth, Ocean & Atmo Sci",Associate Professor,95868,12
JIS - Inst Analytcs & Reportng,Analyst-Institutional Research,68640,12
AFS - Food Science and Techno,Professor,168480,9
CLA - Sch of Psychological Sci,Associate Professor,75213,9
TEE - Out & Engage Open Campus,Asst Director-OpenCampus/Innov,115764,12
HHS - EXT 4-H YouthDev OffCmps,Coord-4-H Program,50712,12
ASC - Animal & Rnglnd Sciences,Instructor,76776,12
***Change to 104000 eff 7/1/19,Instructional Design Spec,68532,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor,87552,12
NIA - University Marketing,Dir-University Marketing,95652,12
QFA - Human Resources-Central,Int Dir HR Strategic Initiv,110004,12
QFA - Human Res BC Ops - AABC,Human Resources Consultant 1,43212,12
CLA - Sch of Arts & Comm,Assistant Professor,77238,9
LCB - Acad Prog / Student Aff,Senior Instructor II,75078,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
MSA - Counseling Center,Psychologist,70824,12
"CLA - Sch Lang, Culture & Soc",Associate Professor,76446,9
TEE - Outreach & Engagement,Executive 3-Assoc Provost,194940,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,49920,12
INT - INTO OSU Program,Undergrad Pathways Prgm Mngr,57e3,12
MSA - Univ Exploratory Studies,Consultant-Academic Advisor,47508,12
YIA - Intercolleg Athletics,Head Coach-Women’s Golf,83400,12
QFA - Human Resources-Central,HR Technology Administrator,73692,12
SMT - Mathematics,Professor,155241,9
"OAS - Earth, Ocean & Atmo Sci",Associate Professor,106212,12
VBS - Vet Biomedical Science,Associate Professor,108198,9
ZSS - Univ Shared Svcs Entrprs,Exe Asst to Dir of USSE,52272,12
AFW - Fisheries and Wildlife,Associate Professor,84735,9
RSG - Sea Grant,Aquatic Spcs Prog Coord,57960,12
SPH - Physics,Associate Professor,126e3,9
QCP - Capital Planning & Devlp,Project Manager,96648,12
NIA - University Events,Dir-University Events,93276,12
HHS - Public Hlth/HumanSci Adm,Associate Head Advisor,49680,12
PHR - Pharmacy Professnl Instr,Associate Professor,122340,12
QBC - Health Sci Business Ctr,Mgr-Finance & Accounting,98328,12
HHS - EXT Fam/CommHlth OffCmps,Instructor,50712,12
AKL - Klamath Basin Res&ExtCtr,Faculty Research Assistant,62736,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor,93672,12
BUS - College of Business Dept,Mgr-MBA Operations,61308,12
QFA - Human Resources-Central,Manager-Employment Systems,87432,12
FOR - Forest Eng/Resourcs/Mgmt,Faculty Research Assistant,48876,12
TEX - Ext/Exp S Communications,Visual Design Leader,81708,12
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,95706,9
ATX - Enviro / Molecular Toxic,Research Associate,64968,12
RIP - VP for Research,Professor,128034,9
FOR - Wood Science / Engr,Professor,124332,12
ECC - Sch of Civil/Constr Engr,Assistant Professor,9e4,9
ABP - Ag Botany / Plant Path,Office Mgr,73008,12
QBC - Univ Admin Business Ctr,Mgr-Finance & Accounting,89484,12
"QBA - Procur,Cont&MaterialsMgt",Sr Payment & Syst Manager,98004,12
NIA - Oregon State Productions,Assistant Director,80004,12
RIP - VP for Research,Research Integrity Coordinator,54e3,12
HHS - Faculty/Staff Fitness,Fitness Instructor,51984,12
PHR - Pharmacy Professnl Instr,Associate Professor (Clinical),133680,12
FOR - Wood Science / Engr,Associate Professor,102672,9
JIS - Client Services,Mgr-Information Technology,87012,12
RDR - Ctr Lifelong STEM Learng,Senior Researcher,65004,12
CLA - Art Department,Assistant Professor,70200,9
AHE - Hermiston Exp Sta,Faculty Research Assistant,39156,12
AHT - Horticulture Extension,Professor,123e3,12
HHS - Sch of Bio/Pop Hlth Sci,Senior Instructor I,67311,9
UPR - OSU Board of Trustees,Exec Asst to Board of Trustees,64008,12
"OAS - Earth, Ocean & Atmo Sci",Professor,139536,12
OAS - Ship Operations,Chief Cook-Oceanus,45240,12
SCH - Chemistry,Senior Instructor II,88548,12
TEX - Ext/Exp S Communications,Publishing Leader,85884,12
MSA - Student Conduct,Admin Asst to the Director,50496,12
OAS - Ship Operations,Asst Engr - Inspection & Test,160008,12
ASC - Animal & Rnglnd Sciences,Instructor,50100,12
EMM - Sch of Mech/Ind/Mfg Engr,Professor,135774,9
HHS - Sch of Bio/Pop Hlth Sci,Professor,104787,9
ATX - Enviro / Molecular Toxic,Research Associate (Post Doc),69252,12
HHS - EXT 4-H YouthDev OnCmps,Associate Professor,84600,12
XEM - Financial Aid,Financial Aid Advisor,42480,12
FOR - College of Forestry Adm,Coord-Web Communications,66324,12
AFS - Food Science and Techno,Senior Instructor I,74856,12
AHT - Horticulture,Senior Faculty Research AsstII,59820,12
MSA - Educ Opportunities Progm,Coord-BlackStud Access/Success,50004,12
ACS - Crop and Soil Science,Faculty Research Assistant,44004,12
YIA - Intercolleg Athletics,Mgr-Softball Operations,49392,12
YIA - Intercolleg Athletics,Head Coach-Football,950004,12
ECB - Sch of Chem/Bio/Envr Eng,Faculty Research Assistant,68628,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,37476,12
NIA - Oregon State Productions,Mgr-Multimedia Production,63648,12
LCB - Acad Prog / Student Aff,Associate Dir-Student Success,84084,12
MSA - Disability Access Srvcs,Dir-Disability Access Services,86700,12
HHS - EXT Fam/CommHlth OnCmps,Coord-Phy Activ Outreach Prog,44004,12
CLA - Sch of Hist Phil & Rel,Associate Professor,82008,9
VMD - Veterinary Medicine,Dir-Marketing/Communications,67152,12
MSA - Acad Svcs Stdnt Athletes,Learning Specialist 2,52500,12
"OAS - Earth, Ocean & Atmo Sci",Professor,140508,12
CLA - Sch of Arts & Comm,Mgr-Marketing & Communications,66852,12
AHT - Horticulture,Faculty Research Assistant,46920,12
"UPR - Audit, Risk & Compliance",Chief Exec Audit Risk & Comp,275712,12
MRS - Recreational Sports,Sr Asst Dir-Rec Ops & Std Init,81408,12
MHD - Univ Housing and Dining,Associate Director,100968,12
CLA - School of Public Policy,Associate Professor,86499,9
CLA - School of Public Policy,Senior Instructor I,89028,9
ABP - Ag Botany / Plant Path,Research Associate (Post Doc),55392,12
NLS - Conference Services,Mgr-Conference Services,56424,12
FOR - Forestry & Natrl Res Ext,Assistant Professor,97224,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate (Post Doc),53052,12
AFW - Fisheries and Wildlife,Senior Faculty Research Asst I,49596,12
VBS - Vet Biomedical Science,Assistant Professor (Clinical),101784,12
CLA - School of Public Policy,Assistant Professor,81828,9
LCB - Acad Prog / Student Aff,Assoc VicPres-Finc Stateg Plan,226356,12
ABP - Ag Botany / Plant Path,Department Head,182640,12
BUS - College of Business Dept,Mgr-Faculty Services,60504,12
ASC - Animal & Rnglnd Sciences,Farm Superintendent,71076,12
CLA - Liberal Arts Admin,Admin Asst to Associate Deans,57036,12
YIA - Intercolleg Athletics,Dir-Varsity OSU/Alumni Eng,74496,12
INT - INTO OSU Program,Undergrad Progression Advisor,40008,12
RIP - VP for Research,Professor,220008,12
AMB - Microbiology (Ag),Assistant Professor (Sr Res),65988,12
"OAS - Earth, Ocean & Atmo Sci",Professor,139872,12
MUN - Retail Food Service,Mgr-Retail Food Service,52608,12
SZO - Integrative Biology,Professor,135027,9
HHS - EXT 4-H YouthDev OffCmps,Instructor,51384,12
BUS - College of Business Dept,Engineer-Systems Administrator,98124,12
ATX - Enviro / Molecular Toxic,Faculty Research Assistant,40944,12
SMB - Microbiology (Science),Research Associate (Post Doc),51324,12
TEX - Ext Washington Co Office,Coordinator-Outreach Program,63588,12
BUS - College of Business Dept,Admin Asst to Assoc Dean,54828,12
VCS - Vet Clinical Sciences,Senior Faculty Research AsstII,58716,12
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research AsstII,94212,12
"OAS - Earth, Ocean & Atmo Sci",Faculty Research Assistant,63456,12
FOR - Ext Forestry OFF Campus,Assistant Professor (Practice),6e4,12
PHR - Pharmacy Professnl Instr,Instructor,112056,12
RDR - Ctr Lifelong STEM Learng,Research Associate,59688,12
HHS - Sch of Soc/Bhav Hlth Sci,Associate Professor,95724,9
CLA - School of Public Policy,Professor,174936,12
BUS - College of Business Dept,Assistant Professor,172008,9
ESE - Sch Elect Engr/Comp Sci,Faculty Research Assistant,74352,12
"OAS - Earth, Ocean & Atmo Sci",Science Communicator,62400,12
LCB - Cascades Exec Office,Executive Assistant,70008,12
FOR - Forest Ecosyst & Society,Senior Instructor I,70848,9
AHT - Horticltr Extn Field Fac,Instructor,54288,12
XEM - Pre-College Programs,Mgr-GEAR UP Prog Events Spec,67548,12
ACS - Crop/Soil Sci Extension,Professor,126168,12
AAR - Applied Economics,Associate Professor,121122,9
MSH - Student Health Services,Sexual Health Coordinator,55500,12
PHR - Pharmacy Professnl Instr,Professor,159936,12
AED - General Agriculture,Assistant Professor,73008,9
CLA - Liberal Arts Admin,Advisor-Academic,61092,12
YIA - Intercolleg Athletics,Dir-MBB Operations,81192,12
CLA - Sch of Wrtg Lit & Film,Assistant Professor,63495,9
VCS - Vet Clinical Sciences,Associate Professor,167820,12
FOR - Forest Ecosyst & Society,Associate Professor,152196,12
FOR - Forest Ecosyst & Society,Forest Biodiversity Net Coord,47004,12
BUS - College of Business Dept,Assoc Mgr-Bus & Strategic Plan,86952,12
ACS - Crop and Soil Science,Mgr-Seed Lab,111072,12
MUN - Memorial Union,Coordinator-Building Services,45e3,12
AHT - Horticulture,Senior Instructor I,86268,12
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,94005,9
XUS - Acad Progms & Assessment,Executive Assistant,56004,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40560,12
MSA - Dean of Students,Dir-Comm Response Belonging,84504,12
WHC - Univ Honors College,Director-Extrnl Relation & Ops,63624,12
AHT - Horticulture Extension,Ext Vegetable Crop Specialist,102528,12
ABP - Ag Botany / Plant Path,Faculty Research Assistant,47400,12
AFC - Food Innovation Center,Professor,129444,12
ABP - Ag Botany / Plant Path,Professor (Sr Res),85908,12
MHD - Univ Housing and Dining,Ops Mgr Bldg Finishes,73008,12
EMM - Sch of Mech/Ind/Mfg Engr,Professor,161145,9
RIP - VP for Research,Senior Mgr-Industry Contracts,107712,12
"OAS - Earth, Ocean & Atmo Sci",Professor,135972,12
RDR - Ctr Lifelong STEM Learng,Professor,106011,9
ASF - COMES - Newport Exp Sta,Admin Asst To,49008,12
BUS - College of Business Dept,Assistant Professor,138456,9
NLS - Conference Services,Mgr-Conference Services,52128,12
CLA - School of Public Policy,Assistant Professor,82134,9
AHT - Horticltr Extn Field Fac,Assistant Professor (Practice),68436,12
VMD - Veterinary Medicine,Dir-Information Technology,109008,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40572,12
FOR - Forest Ecosyst & Society,Distinguished Professor,240072,12
HHS - EXT Fam/CommHlth OffCmps,Senior Instructor I,64992,12
AAR - Applied Economics,Assistant Professor,100305,9
ATX - Enviro / Molecular Toxic,Faculty Research Assistant,44808,12
AHT - Horticulture Extension,Ext Horticulturist-Berry,159552,12
FOR - Forest Eng/Resourcs/Mgmt,Assistant Professor,87426,9
TEE - Outreach & Engagement,Regional Director,131508,12
HHS - Public Hlth/HumanSci Adm,Dir-Marketing/Comm,83124,12
MHD - Univ Housing and Dining,Dir Ops & Fac/Assoc Dir-UHDS,134004,12
ATX - Enviro / Molecular Toxic,Professor,165978,9
ECC - Sch of Civil/Constr Engr,Associate Professor,116676,9
ENS - Sch Nuclear Sci & Engr,Head Advisor,61824,12
HHS - Sch of Bio/Pop Hlth Sci,Senior Instructor I,57429,9
SCH - Chemistry,Professor Endowed Chair,225252,9
PHR - Pharmacy Professnl Instr,Assistant Professor (Clinical),111528,12
UPR - Equal Opportunity&Access,Intake & Assessment Assoc,72e3,12
SMB - Microbiology (Science),Research Associate (Post Doc),51072,12
YIA - Intercolleg Athletics,Asst Coach-Football,300012,12
TEX - Ext Hood River Co Office,Outreach Program Coordinator,47196,12
MRS - Recreational Sports,Coord-Fitness Training & Edu,54744,12
RDR - Ctr Excellnce Genome Res,Senior Faculty Research Asst I,131412,12
ACS - Crop/Soil Extn Field Fac,Assistant Professor (Practice),67368,12
ACS - Crop and Soil Science,Professor,114144,12
MSA - Counseling Center,Psychologist,71964,12
SPH - Physics,Assistant Professor,85473,9
PHR - Pharmacy Professnl Instr,Assistant Professor,109824,12
TEX - Ext Clackamas Co Office,Office Manager,65004,12
RIP - VP for Research,Coord-HR Protection Program,56004,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,39504,12
ACB - Columbia Basin Exp Sta,Mgr-Office,56784,12
ABP - Ag Botany / Plant Path,Senior Faculty Research Asst I,58464,12
HHS - KidSpirit,Director-KidSpirit,54264,12
YIA - Intercolleg Athletics,Trainer-Athletic Camps,51996,12
ENG - College of Engineering,Professor,158130,9
RIP - VP for Research,Licensing Manager,95004,12
OAS - Ship Operations,Coord-Transition to Operations,124536,12
JIS - Entrprse Computing Svcs,"Assoc Dir Warehouse, Ente Comp",118020,12
BUS - College of Business Dept,Senior Instructor I,105075,9
SMT - Mathematics,Professor,98469,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,41604,12
XEM - Office of the Registrar,Catalog & Curriculum Coord.,45e3,12
ASF - COMES - Newport Exp Sta,Director,151632,12
AHT - Horticltr Extn Field Fac,Master Gardener Coordinator,51336,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,92007,9
ESE - Sch Elect Engr/Comp Sci,Professor,152379,9
AHT - Horticulture,Research Associate (Post Doc),50484,12
RIP - VP for Research,Grants and Contract Officer,69300,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,80100,9
XEM - The SMILE Program,Coordinator-Outreach Program,50004,12
AGA - College of Ag Admin,Director,159012,12
MSA - NewStdntPrgs&FamlyOutrch,Coord-Parent & Family Program,49440,12
MHD - Univ Housing and Dining,Coord-Service Center Ops,59772,12
ATX - Enviro / Molecular Toxic,Distinguished Professor,171108,9
QUB - Dept of Public Safety,Chief of Public Safety,151848,12
ACS - Crop/Soil Extn Field Fac,Assistant Professor (Practice),63204,12
PHR - Pharmacy Professnl Instr,Associate Professor,123060,12
PHR - Pharmacy Professnl Instr,Associate Professor (Sr Res),85704,12
TEX - Extension Service Admin,Asst to Assoc Prov/Assoc Dir,67140,12
SPH - Physics,Distinguished Professor,131634,9
MHD - Univ Housing and Dining,Residential Director-1,35508,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,38484,12
ACS - Crop and Soil Science,Assistant Professor (Sr Res),72216,12
UPR - Ombuds Office,Associate Ombuds,87456,12
INT - INTO OSU Program,Instructor (ESL),50724,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,41580,12
HHS - EXT Fam/CommHlth OnCmps,Budget Mgr/Asst to Prg Leader,55932,12
XEM - Admissions,Regional Admissions Advisor,47484,12
YIA - Intercolleg Athletics,Dir-Athletic Training Svcs,135060,12
ESE - Sch Elect Engr/Comp Sci,Professor,174708,9
ABP - Ag Botany / Plant Path,Senior Faculty Research Asst I,63084,12
***Change to 104000 eff 7/1/19,Associate Provost Ext Campus,186348,12
KED - College of Education,Head Academic Advisor,47004,12
"OAS - Earth, Ocean & Atmo Sci",Professor,132216,12
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,105165,9
MHD - Univ Housing and Dining,Residential Director-2,42504,12
SZO - Integrative Biology,Associate Professor,96201,9
KED - College of Education,Assistant Professor,75942,9
HHS - Sch of Bio/Pop Hlth Sci,Instructor,55008,12
***Change to 104000 eff 7/1/19,Assistant Director,73800,12
UPR - Ombuds Office,Ombudsman,117864,12
YIA - Intercolleg Athletics,Trainer-Athletic Camps,51996,12
ACS - Crop and Soil Science,NMPAN Program Manager,62400,12
SMT - Mathematics,Professor,116676,9
***Change to 104000 eff 7/1/19,Office Manager,56532,12
ABP - Ag Botany / Plant Path,Research Associate (Post Doc),43236,12
QFA - Controller’s Office-F&A,Executive Assistant,60840,12
CLA - Sch of Hist Phil & Rel,Associate Professor,86940,9
AHT - Horticltr Extn Field Fac,Assistant Professor,73008,9
FOR - College of Forestry Adm,Academic Advisor,47904,12
KED - College of Education,Associate Professor,89865,9
MSH - Student Health Services,Director - Fin and Ops,119616,12
QFA - Human Resources-Central,Human Resources Consultant 2,53004,12
EMM - Sch of Mech/Ind/Mfg Engr,Mgr-School Operations,70500,12
CLA - School of Public Policy,Assistant Professor,106740,9
"CLA - Sch Lang, Culture & Soc",Associate Professor,77760,9
YIA - Intercolleg Athletics,Asst Coach-Men’s Basketball,215004,12
TEE - Outreach & Engagement,Regional Director,140400,12
ECB - Sch of Chem/Bio/Envr Eng,Graduate Programs Coordinator,65004,12
HHS - Physical ActivityCourses,SCUBA Certification Evaluator,29640,12
HHS - Public Hlth/HumanSci Adm,AssocDean-Acad&FacultyAffairs,170136,12
RDR - AdvTech&MftgInst (ATAMI),Specialist 2-Engineer,67620,12
YIA - Intercolleg Athletics,Head Coach-Cheer/Dance,31008,12
QBC - AgSci/Marine BusinessCtr,Mgr-Business Center,134832,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor,74619,9
RIP - VP for Research,Business System Analyst,54e3,12
YIA - Intercolleg Athletics,Asst Coach-Football,575004,12
ATX - Enviro / Molecular Toxic,Research Associate,55968,12
RIP - VP for Research,Mgr-Intell Property & Contract,64416,12
"CLA - Sch Lang, Culture & Soc",Professor,102051,9
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor (Sr Res),69528,12
ATX - Enviro / Molecular Toxic,Assistant Professor,98343,9
YIA - Intercolleg Athletics,Head Coach-Men’s Basketball,680004,12
AFW - Fisheries and Wildlife,Faculty Research Assist,34500,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate (Post Doc),47400,12
HHS - EXT Fam/CommHlth OnCmps,Assistant Professor (Practice),74268,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40536,12
NPM - Printing & Mailing Svcs,Assoc Dir-Client Relations/Ops,86028,12
ESE - Sch Elect Engr/Comp Sci,Associate Professor,130860,9
ACT - Central Oregon Exp Sta,Director,97860,12
AFS - Food Science and Techno,Associate Professor,89307,9
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,77463,9
HHS - Sch of Soc/Bhav Hlth Sci,Assistant Professor (Practice),76740,12
AHT - Horticulture,Faculty Research Assistant,48348,12
VMD - Veterinary Medicine,Dean,263880,12
AMM - Marine Mammal Institute,Assistant Professor,95700,12
"OAS - Earth, Ocean & Atmo Sci",Professor,143844,12
XEM - Admissions,Asst Dir-Operations,48e3,12
VCS - Vet Clinical Sciences,Assistant Professor,138564,12
ACS - Crop and Soil Science,Associate Professor (Sr Res),87168,12
MHD - Univ Housing and Dining,Mngr-Ops HVAC & Prev Maint,73992,12
RDR - Linus Pauling Institute,Professor,158964,12
HHS - Sch of Soc/Bhav Hlth Sci,Research Project Coordinator,56244,12
TEX - Ext Klamath Co Office,Administrative Office Manager,6e4,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,42660,12
GRD - Graduate School Admin,Assistant to Assistant Deans,50004,12
UPR - Equal Opportunity&Access,Accommodation Associate,6e4,12
NPM - Printing & Mailing Svcs,Marketing Coordinator,56004,12
HHS - EXT Fam/CommHlth OffCmps,Coordinator - SNAP Ed,64872,12
RIP - VP for Research,Dir-IP & Commercial Agreements,147144,12
"OAS - Earth, Ocean & Atmo Sci",Professor,146688,12
ECC - Sch of Civil/Constr Engr,Professor,184446,9
